ID,Text,Entity,Entity Label,Confidence Score
1,Apple launched the iPhone 15 in California in 2023.,Apple,ORGANIZATION,0.99
1,Apple launched the iPhone 15 in California in 2023.,iPhone 15,PRODUCT,0.98
1,Apple launched the iPhone 15 in California in 2023.,California,LOCATION,0.97
1,Apple launched the iPhone 15 in California in 2023.,2023,DATE,0.95
2,Tesla invested $4 billion in India in 2022.,Tesla,ORGANIZATION,0.99
2,Tesla invested $4 billion in India in 2022.,$4 billion,MONEY,0.98
2,Tesla invested $4 billion in India in 2022.,India,LOCATION,0.97
2,Tesla invested $4 billion in India in 2022.,2022,DATE,0.95
3,Sundar Pichai spoke at Harvard University on Monday.,Sundar Pichai,PERSON,0.99
3,Sundar Pichai spoke at Harvard University on Monday.,Harvard University,ORGANIZATION,0.97
3,Sundar Pichai spoke at Harvard University on Monday.,Monday,DATE,0.9
4,Microsoft introduced Surface Laptop 6 in 2024.,Microsoft,ORGANIZATION,0.99
4,Microsoft introduced Surface Laptop 6 in 2024.,Surface Laptop 6,PRODUCT,0.98
4,Microsoft introduced Surface Laptop 6 in 2024.,2024,DATE,0.96
5,The FIFA World Cup 2022 was hosted in Qatar.,FIFA World Cup 2022,EVENT,0.99
5,The FIFA World Cup 2022 was hosted in Qatar.,Qatar,LOCATION,0.98
5,The FIFA World Cup 2022 was hosted in Qatar.,2022,DATE,0.95
6,Amazon acquired Whole Foods for $13 billion in 2017.,Amazon,ORGANIZATION,0.99
6,Amazon acquired Whole Foods for $13 billion in 2017.,Whole Foods,ORGANIZATION,0.98
6,Amazon acquired Whole Foods for $13 billion in 2017.,$13 billion,MONEY,0.97
6,Amazon acquired Whole Foods for $13 billion in 2017.,2017,DATE,0.95
7,The meeting starts at 10:30 AM in London.,10:30 AM,TIME,0.96
7,The meeting starts at 10:30 AM in London.,London,LOCATION,0.97
8,NASA launched Artemis II in November 2024.,NASA,ORGANIZATION,0.99
8,NASA launched Artemis II in November 2024.,Artemis II,EVENT,0.97
8,NASA launched Artemis II in November 2024.,November 2024,DATE,0.96
9,Elon Musk acquired Twitter for $44 billion in 2022.,Elon Musk,PERSON,0.99
9,Elon Musk acquired Twitter for $44 billion in 2022.,Twitter,ORGANIZATION,0.99
9,Elon Musk acquired Twitter for $44 billion in 2022.,$44 billion,MONEY,0.98
9,Elon Musk acquired Twitter for $44 billion in 2022.,2022,DATE,0.95
