ID,Text,Entity,Entity_Label,Confidence_Score,Comment
1,Oracle opened a data center in Madrid in 2024.,Oracle,ORGANIZATION,0.97,
1,Oracle opened a data center in Madrid in 2024.,Madrid,LOCATION,0.96,
1,Oracle opened a data center in Madrid in 2024.,2024,DATE,0.95,
2,Michael Jordan invested $200 million in Chicago in 2020.,Michael Jordan,PERSON,0.98,
2,Michael Jordan invested $200 million in Chicago in 2020.,$200 million,MONEY,0.96,
2,Michael Jordan invested $200 million in Chicago in 2020.,Chicago,LOCATION,0.95,
2,Michael Jordan invested $200 million in Chicago in 2020.,2020,DATE,0.94,
3,BMW launched the X7 Facelift in Germany in 2023.,BMW,ORGANIZATION,0.97,
3,BMW launched the X7 Facelift in Germany in 2023.,X7 Facelift,PRODUCT,0.94,Full product boundary sensitive
3,BMW launched the X7 Facelift in Germany in 2023.,Germany,LOCATION,0.96,
3,BMW launched the X7 Facelift in Germany in 2023.,2023,DATE,0.95,
4,Serena Williams won Wimbledon in 2016.,Serena Williams,PERSON,0.98,
4,Serena Williams won Wimbledon in 2016.,Wimbledon,EVENT,0.92,Event vs location ambiguity
4,Serena Williams won Wimbledon in 2016.,2016,DATE,0.95,
5,Cisco signed a $750 million deal in Singapore on June 3 2022.,Cisco,ORGANIZATION,0.97,
5,Cisco signed a $750 million deal in Singapore on June 3 2022.,$750 million,MONEY,0.96,
5,Cisco signed a $750 million deal in Singapore on June 3 2022.,Singapore,LOCATION,0.96,
5,Cisco signed a $750 million deal in Singapore on June 3 2022.,June 3 2022,DATE,0.94,
6,The Cannes Film Festival 2019 was held in France.,Cannes Film Festival 2019,EVENT,0.95,Full event name required
6,The Cannes Film Festival 2019 was held in France.,France,LOCATION,0.96,
6,The Cannes Film Festival 2019 was held in France.,2019,DATE,0.94,
7,Stripe transferred £120000 to Barclays on Friday.,Stripe,ORGANIZATION,0.96,
7,Stripe transferred £120000 to Barclays on Friday.,"£120,000",MONEY,0.94,Currency normalization edge case
7,Stripe transferred £120000 to Barclays on Friday.,Barclays,ORGANIZATION,0.95,
7,Stripe transferred £120000 to Barclays on Friday.,Friday,DATE,0.92,Relative calendar reference
8,Roger Federer announced retirement in 2022.,Roger Federer,PERSON,0.98,
8,Roger Federer announced retirement in 2022.,2022,DATE,0.95,
9,Sony unveiled the PlayStation 6 in Tokyo in 2025.,Sony,ORGANIZATION,0.97,
9,Sony unveiled the PlayStation 6 in Tokyo in 2025.,PlayStation 6,PRODUCT,0.95,Version number boundary important
9,Sony unveiled the PlayStation 6 in Tokyo in 2025.,Tokyo,LOCATION,0.96,
9,Sony unveiled the PlayStation 6 in Tokyo in 2025.,2025,DATE,0.95,
10,The Commonwealth Games 2022 took place in Birmingham.,Commonwealth Games 2022,EVENT,0.96,
10,The Commonwealth Games 2022 took place in Birmingham.,Birmingham,LOCATION,0.96,
10,The Commonwealth Games 2022 took place in Birmingham.,2022,DATE,0.95,
11,SpaceX launched Starship in Texas on April 20 2023.,SpaceX,ORGANIZATION,0.97,
11,SpaceX launched Starship in Texas on April 20 2023.,Starship,PRODUCT,0.93,Rocket name could be treated as event in some schemas
11,SpaceX launched Starship in Texas on April 20 2023.,Texas,LOCATION,0.96,
11,SpaceX launched Starship in Texas on April 20 2023.,April 20 2023,DATE,0.95,
12,Larry Page donated $50 million to Stanford University in 2018.,Larry Page,PERSON,0.98,
12,Larry Page donated $50 million to Stanford University in 2018.,$50 million,MONEY,0.96,
12,Larry Page donated $50 million to Stanford University in 2018.,Stanford University,ORGANIZATION,0.97,
12,Larry Page donated $50 million to Stanford University in 2018.,2018,DATE,0.94,
13,Nvidia released the RTX 5090 in California in 2024.,Nvidia,ORGANIZATION,0.97,
13,Nvidia released the RTX 5090 in California in 2024.,RTX 5090,PRODUCT,0.94,Model number boundary important
13,Nvidia released the RTX 5090 in California in 2024.,California,LOCATION,0.96,
13,Nvidia released the RTX 5090 in California in 2024.,2024,DATE,0.95,
14,The Super Bowl LVIII was hosted in Las Vegas in 2024.,Super Bowl LVIII,EVENT,0.95,Roman numeral handling edge case
14,The Super Bowl LVIII was hosted in Las Vegas in 2024.,Las Vegas,LOCATION,0.96,
14,The Super Bowl LVIII was hosted in Las Vegas in 2024.,2024,DATE,0.95,
15,Pfizer invested $3 billion in research in New York in 2021.,Pfizer,ORGANIZATION,0.97,
15,Pfizer invested $3 billion in research in New York in 2021.,$3 billion,MONEY,0.96,
15,Pfizer invested $3 billion in research in New York in 2021.,New York,LOCATION,0.95,
15,Pfizer invested $3 billion in research in New York in 2021.,2021,DATE,0.94,
16,Rihanna performed at Coachella in April 2023.,Rihanna,PERSON,0.98,
16,Rihanna performed at Coachella in April 2023.,Coachella,EVENT,0.93,Festival vs location ambiguity
16,Rihanna performed at Coachella in April 2023.,Apr-23,DATE,0.94,
17,ByteDance acquired a startup in Seoul for $600 million in 2022.,ByteDance,ORGANIZATION,0.97,
17,ByteDance acquired a startup in Seoul for $600 million in 2022.,Seoul,LOCATION,0.96,
17,ByteDance acquired a startup in Seoul for $600 million in 2022.,$600 million,MONEY,0.95,
17,ByteDance acquired a startup in Seoul for $600 million in 2022.,2022,DATE,0.94,
