ID,TEXT,ENTITY,LABEL,CONFIDENCE_SCORE,COMMENT
1,Sundar Pichai announced a $2 billion investment in India on July 10 2020.,Sundar Pichai,PERSON,0.98,
1,Sundar Pichai announced a $2 billion investment in India on July 10 2020.,$2 billion,MONEY,0.97,
1,Sundar Pichai announced a $2 billion investment in India on July 10 2020.,India,LOCATION,0.96,
1,Sundar Pichai announced a $2 billion investment in India on July 10 2020.,July 10 2020,DATE,0.97,
,,,,,
2,Microsoft acquired LinkedIn for $26.2 billion in 2016.,Microsoft,ORGANIZATION,0.99,
2,Microsoft acquired LinkedIn for $26.2 billion in 2016.,LinkedIn,ORGANIZATION,0.99,
2,Microsoft acquired LinkedIn for $26.2 billion in 2016.,$26.2 billion,MONEY,0.98,
2,Microsoft acquired LinkedIn for $26.2 billion in 2016.,2016,DATE,0.96,
,,,,,
3,Elon Musk launched the Tesla Model S in California on June 22 2012.,Elon Musk,PERSON,0.99,
3,Elon Musk launched the Tesla Model S in California on June 22 2012.,Tesla Model S,PRODUCT,0.96,Full product boundary important
3,Elon Musk launched the Tesla Model S in California on June 22 2012.,California,LOCATION,0.97,
3,Elon Musk launched the Tesla Model S in California on June 22 2012.,June 22 2012,DATE,0.96,
,,,,,
4,Apple released the iPhone 14 Pro on September 16 2022.,Apple,ORGANIZATION,0.98,
4,Apple released the iPhone 14 Pro on September 16 2022.,iPhone 14 Pro,PRODUCT,0.95,Product boundary sensitive
4,Apple released the iPhone 14 Pro on September 16 2022.,September 16 2022,DATE,0.96,
,,,,,
5,Ratan Tata invested ₹500 crore in a startup based in Mumbai.,Ratan Tata,PERSON,0.99,
5,Ratan Tata invested ₹500 crore in a startup based in Mumbai.,₹500 crore,MONEY,0.97,
5,Ratan Tata invested ₹500 crore in a startup based in Mumbai.,Mumbai,LOCATION,0.97,
,,,,,
6,Meta Platforms acquired Instagram for $1 billion in 2012.,Meta Platforms,ORGANIZATION,0.99,
6,Meta Platforms acquired Instagram for $1 billion in 2012.,Instagram,ORGANIZATION,0.96,Subsidiary treated as organization
6,Meta Platforms acquired Instagram for $1 billion in 2012.,$1 billion,MONEY,0.97,
6,Meta Platforms acquired Instagram for $1 billion in 2012.,2012,DATE,0.96,
,,,,,
7,Netflix expanded operations to Los Angeles in April 2018.,Netflix,ORGANIZATION,0.98,
7,Netflix expanded operations to Los Angeles in April 2018.,Los Angeles,LOCATION,0.97,
7,Netflix expanded operations to Los Angeles in April 2018.,Apr-18,DATE,0.96,
,,,,,
8,Samsung Electronics launched the Galaxy S23 in February 2023.,Samsung Electronics,ORGANIZATION,0.99,
8,Samsung Electronics launched the Galaxy S23 in February 2023.,Galaxy S23,PRODUCT,0.95,Full model name required
8,Samsung Electronics launched the Galaxy S23 in February 2023.,Feb-23,DATE,0.96,
,,,,,
9,Amazon reported revenue of $514 billion in 2022.,Amazon,ORGANIZATION,0.99,
9,Amazon reported revenue of $514 billion in 2022.,$514 billion,MONEY,0.98,
9,Amazon reported revenue of $514 billion in 2022.,2022,DATE,0.96,
,,,,,
10,UNICEF organized a campaign in London in 2021.,UNICEF,ORGANIZATION,0.99,
10,UNICEF organized a campaign in London in 2021.,London,LOCATION,0.97,
10,UNICEF organized a campaign in London in 2021.,2021,DATE,0.96,
,,,,,
11,Virat Kohli scored a century at Eden Gardens on October 5 2019.,Virat Kohli,PERSON,0.99,
11,Virat Kohli scored a century at Eden Gardens on October 5 2019.,Eden Gardens,LOCATION,0.95,Stadium treated as location
11,Virat Kohli scored a century at Eden Gardens on October 5 2019.,October 5 2019,DATE,0.96,
,,,,,
12,Infosys signed a $300 million deal with Microsoft in 2023.,Infosys,ORGANIZATION,0.99,
12,Infosys signed a $300 million deal with Microsoft in 2023.,$300 million,MONEY,0.97,
12,Infosys signed a $300 million deal with Microsoft in 2023.,Microsoft,ORGANIZATION,0.99,
12,Infosys signed a $300 million deal with Microsoft in 2023.,2023,DATE,0.96,
,,,,,
13,Barack Obama visited New York on March 12.,Barack Obama,PERSON,0.99,
