ID,Text,Category,Confidence_Score,Comment
1,The national marathon trials begin next week.,Sports,0.91,
2,The senate approved amendments to the climate bill.,Politics,0.88,
3,A biotech firm unveiled a next-gen gene editing tool.,Technology,0.9,Could overlap with Health (biotech context)
4,The indie film premiered at an international festival.,Entertainment,0.92,
5,Cardiologists recommend reducing sodium intake.,Health,0.89,
6,The board introduced digital scholarships for rural students.,Education,0.87,
7,Oil prices climbed amid supply concerns.,Finance,0.94,
8,The island resort reopened for summer travelers.,Travel,0.9,
9,The national wrestling camp selected new trainees.,Sports,0.93,
10,The opposition staged a protest against the tax bill.,Politics,0.91,
11,A startup launched a satellite-based internet service.,Technology,0.92,
12,The pop band released a surprise single online.,Entertainment,0.93,
13,Health agencies issued alerts on heatwave precautions.,Health,0.9,
14,The institute partnered with global universities.,Education,0.88,
15,Bond yields fell after policy announcements.,Finance,0.95,
16,The mountain railway introduced panoramic coaches.,Travel,0.89,
17,The athletics federation updated qualification rules.,Sports,0.92,
18,The mayor announced a smart city initiative.,Politics,0.84,Could overlap with Technology (smart infra)
19,A new VR headset promises immersive gaming.,Technology,0.94,
20,The documentary series explores ancient civilizations.,Entertainment,0.91,
21,Nutrition campaigns focus on childhood obesity.,Health,0.88,
22,The college launched evening diploma courses.,Education,0.86,
23,The stock exchange introduced new trading norms.,Finance,0.93,
24,The coastal town expects a surge in visitors.,Travel,0.87,
25,The rugby team appointed a new head coach.,Sports,0.9,
26,Parliament discussed reforms in digital privacy laws.,Politics,0.85,Overlap with Technology (digital policy)
27,Engineers built a solar-powered charging station.,Technology,0.92,
28,The awards night celebrated independent artists.,Entertainment,0.9,
29,Doctors highlighted benefits of preventive screenings.,Health,0.91,
30,The education ministry expanded vocational programs.,Education,0.89,
31,Foreign investors increased holdings in local markets.,Finance,0.94,
32,The safari park introduced eco-tour packages.,Travel,0.88,
33,The national cycling tour covered five states.,Sports,0.91,
34,The governor addressed concerns over water policy.,Politics,0.87,
35,A cloud security update patched vulnerabilities.,Technology,0.93,
36,The theatre play received standing ovations.,Entertainment,0.92,
37,Researchers studied long-term effects of sleep deprivation.,Health,0.9,
38,The academy adopted hybrid examination formats.,Education,0.84,Overlap with Technology (hybrid format)
39,Currency markets reacted to global trade talks.,Finance,0.95,
40,The tourism board promoted winter adventure sports.,Travel,0.89,
41,The basketball draft attracted international scouts.,Sports,0.93,
42,The cabinet proposed amendments to labor codes.,Politics,0.88,
43,A robotics lab unveiled autonomous delivery drones.,Technology,0.94,
44,The streaming platform renewed a hit series.,Entertainment,0.91,
45,Public health officials launched anti-smoking drives.,Health,0.89,
46,The university opened applications for research fellowships.,Education,0.92,
47,Market analysts forecast steady GDP growth.,Finance,0.93,
48,The airline upgraded its in-flight services.,Travel,0.87,
49,The boxing championship finals aired live worldwide.,Sports,0.94,
50,The lawmaker proposed stricter environmental standards.,Politics,0.86,
51,A semiconductor breakthrough boosts chip efficiency.,Technology,0.92,
52,The actor hosted a film appreciation workshop.,Entertainment,0.9,
53,Clinics expanded telemedicine services.,Health,0.88,Could overlap with Technology
54,The board exam timetable was published online.,Education,0.91,
55,The banking regulator revised lending guidelines.,Finance,0.94,
56,The heritage monument reopened after renovation.,Travel,0.9,
57,The national team trained ahead of qualifiers.,Sports,0.92,
58,The foreign policy summit concluded successfully.,Politics,0.89,
59,Developers launched a multilingual AI assistant.,Technology,0.95,
60,The music festival featured global DJs.,Entertainment,0.92,
