ID,Text,Sentiment_Label,Confidence_Score,Comment,,
1,The sound of the vacuum was unbearable.,Negative,0.92,,,
2,I couldn’t stop smiling after using this app.,Positive,0.95,,,
3,The instructions were confusing and unclear.,Negative,0.9,,,
4,My order arrived on time and in perfect condition.,Positive,0.93,,,
5,Nothing about this product impressed me.,Negative,0.88,,,
6,The website interface feels modern and smooth.,Positive,0.91,,,
7,Customer service was unresponsive for days.,Negative,0.96,,,
8,The colors are vibrant and visually pleasing.,Positive,0.94,,,
9,I felt indifferent about the movie plot.,Neutral,0.78,No strong emotional impact,,
10,The update caused multiple glitches.,Negative,0.93,,,
11,Overall,it met my expectations satisfactorily.,Positive,0.9,,
12,The packaging was sloppy and unprofessional.,Negative,0.92,,,
13,It’s okay,but not very exciting.,Neutral,0.75,Somewhat bland experience,
14,The recipe app inspired me to cook more.,Positive,0.92,,,
15,The battery drains too quickly during use.,Negative,0.95,,,
16,Customer support resolved my issue promptly.,Positive,0.94,,,
17,The text on labels is barely readable.,Negative,0.9,,,
18,The fragrance is delightful and subtle.,Positive,0.91,,,
19,I have no particular opinion about this service.,Neutral,0.77,Neutral,factual,
20,The shipment was delayed without notice.,Negative,0.93,,,
21,The learning platform makes studying enjoyable.,Positive,0.95,,,
22,The product scratches easily.,Negative,0.9,,,
23,It’s neither good nor bad,just acceptable.,Neutral,0.76,Balanced tone,
24,The camera captures stunning photos.,Positive,0.96,,,
25,Instructions were incomplete and misleading.,Negative,0.94,,,
26,The music playlist cheered me up.,Positive,0.92,,,
27,The screen flickers occasionally.,Negative,0.89,,,
28,It’s usable,but lacks features.,Neutral,0.75,Functional but unremarkable,
29,The scent was overpowering and unpleasant.,Negative,0.93,,,
30,This course helped me improve my skills.,Positive,0.95,,,
31,The app crashed multiple times a day.,Negative,0.96,,,
32,The pillow is comfortable and soft.,Positive,0.91,,,
33,The report didn’t provide useful insights.,Negative,0.88,,,
34,I felt neutral about the design of this chair.,Neutral,0.77,No strong opinion,,
35,The headphones deliver crisp sound quality.,Positive,0.94,,,
36,The interface is cluttered and confusing.,Negative,0.92,,,
37,It performs its function as expected.,Neutral,0.76,Functional,factual,
38,The book captivated me from start to finish.,Positive,0.96,,,
39,The instructions caused more problems than solutions.,Negative,0.95,,,
40,The meal was decent but lacked flavor.,Neutral,0.78,Mild disappointment,,
41,The software works flawlessly.,Positive,0.95,,,
42,The customer experience was frustrating.,Negative,0.94,,,
43,I don’t have strong feelings about the app.,Neutral,0.75,Neutral,factual,
44,The garden looks vibrant after planting.,Positive,0.93,,,
45,The website errors made me annoyed.,Negative,0.92,,,
46,It’s adequate for basic needs.,Neutral,0.76,Functional,,
47,The new feature is genuinely useful.,Positive,0.94,,,
48,The packaging looked cheap and flimsy.,Negative,0.91,,,
49,The series finale left me content.,Positive,0.92,,,
50,The meeting was long and unproductive.,Negative,0.9,,,
51,The coffee tastes excellent.,Positive,0.95,,,
52,The device overheats quickly.,Negative,0.94,,,
53,The service was fair and acceptable.,Neutral,0.77,Functional,factual,
54,The game is addictive and fun.,Positive,0.96,,,
55,The screen resolution is disappointing.,Negative,0.92,,,
56,The feature update seems minor.,Neutral,0.76,Minor impact,,
57,The staff welcomed us warmly.,Positive,0.93,,,
58,The app notifications are annoying.,Negative,0.91,,,
59,It’s okay for casual use.,Neutral,0.75,Functional,,
60,The sound system exceeded expectations.,Positive,0.96,,,
61,The product is overpriced for its quality.,Negative,0.94,,,
62,It works fine without issues.,Neutral,0.77,Functional,factual,
63,The service was outstanding.,Positive,0.95,,,
64,The delivery process was slow and frustrating.,Negative,0.93,,,
65,Nothing stood out particularly.,Neutral,0.76,Unremarkable,,
66,The new update improved performance.,Positive,0.94,,,
67,The furniture feels cheap and unstable.,Negative,0.92,,,
68,The app is functional but bland.,Neutral,0.75,Neutral evaluation,,
69,The instructor explained topics clearly.,Positive,0.95,,,
70,The website layout is confusing.,Negative,0.91,,,
71,The software is intuitive and efficient.,Positive,0.96,,,
72,The response time was poor.,Negative,0.93,,,
73,The product is of high quality.,Positive,0.94,,,
74,The experience left me frustrated.,Negative,0.92,,,
75,The explanation was neutral and factual.,Neutral,0.76,Neutral,factual,
76,The design is elegant and sleek.,Positive,0.95,,,
77,The feature is broken and unusable.,Negative,0.94,,,
78,It works as intended,nothing more.,Neutral,0.77,Functional,
79,The meal exceeded my expectations.,Positive,0.96,,,
80,The product arrived damaged.,Negative,0.93,,,
81,It’s fine,nothing special.,Neutral,0.75,Neutral observation,
82,The video quality is excellent.,Positive,0.95,,,
83,The instructions were vague.,Negative,0.91,,,
84,The book was okay,not amazing.,Neutral,0.76,Neutral,factual
85,The app is very helpful.,Positive,0.96,,,
86,The product feels cheap and fragile.,Negative,0.94,,,
87,The response was acceptable.,Neutral,0.77,Functional,,
88,The headphones are amazing.,Positive,0.95,,,
89,The delivery was delayed and inconvenient.,Negative,0.93,,,
90,The review was factual and neutral.,Neutral,0.76,Informative,,
91,The team performed exceptionally well.,Positive,0.96,,,
92,The software failed to install.,Negative,0.94,,,
93,The interface is simple and intuitive.,Positive,0.95,,,
94,The website froze multiple times.,Negative,0.92,,,
95,The app layout is pleasing.,Positive,0.96,,,
96,The battery stopped working quickly.,Negative,0.93,,,
97,It’s a standard experience.,Neutral,0.75,Neutral observation,,
98,The course content is engaging.,Positive,0.95,,,
99,The packaging was neat and organized.,Positive,0.94,,,
100,The product did not meet my expectations.,Negative,0.91,,,
